                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.81151,                0.49588,                 0.9735,                0.88244,                0.77929,                0.86524,                0.64807,                0.95896,                0.56631,                 1.0446,               0.002872,               0.002872,               0.002872
                     74,                0.80538,                0.49214,                0.96991,                0.89297,                0.77414,                0.86638,                0.64703,                0.95967,                 0.5629,                 1.0419,               0.002773,               0.002773,               0.002773
                     75,                0.79823,                0.48949,                0.96889,                0.88207,                 0.7813,                0.86649,                0.64868,                0.95795,                0.56237,                 1.0407,               0.002674,               0.002674,               0.002674
                     76,                0.79841,                0.48276,                0.96283,                0.89335,                0.77283,                0.86601,                0.64586,                0.95968,                 0.5607,                 1.0408,               0.002575,               0.002575,               0.002575
                     77,                0.79319,                0.48073,                0.96341,                 0.8927,                 0.7725,                0.86534,                0.64708,                0.96101,                0.56274,                 1.0417,               0.002476,               0.002476,               0.002476
                     78,                0.78739,                0.47571,                0.96242,                 0.8807,                0.77797,                0.86607,                0.64925,                0.95914,                0.55971,                 1.0469,               0.002377,               0.002377,               0.002377
                     79,                0.78371,                0.47262,                0.96324,                0.88888,                 0.7771,                0.86487,                0.64924,                0.95637,                0.55844,                 1.0416,               0.002278,               0.002278,               0.002278
                     80,                0.78517,                 0.4713,                0.95787,                0.88619,                0.77845,                0.86546,                0.64831,                0.96364,                 0.5575,                 1.0428,               0.002179,               0.002179,               0.002179
                     81,                 0.7791,                0.47029,                0.95685,                0.88681,                0.78739,                 0.8667,                0.64857,                0.96495,                0.55548,                 1.0401,                0.00208,                0.00208,                0.00208
                     82,                0.77611,                0.46449,                0.95479,                0.88957,                 0.7825,                0.86659,                 0.6493,                0.96284,                0.55427,                 1.0437,               0.001981,               0.001981,               0.001981
                     83,                0.76956,                0.45916,                0.95286,                0.88698,                0.78626,                0.86653,                0.64854,                0.96277,                 0.5565,                 1.0456,               0.001882,               0.001882,               0.001882
                     84,                0.77467,                0.46143,                0.95304,                  0.877,                0.79574,                0.86773,                 0.6504,                0.96206,                0.55924,                 1.0448,               0.001783,               0.001783,               0.001783
                     85,                 0.7679,                 0.4578,                0.95471,                0.89727,                0.78154,                0.86957,                0.65075,                0.96109,                0.55856,                  1.048,               0.001684,               0.001684,               0.001684
                     86,                0.76123,                0.45013,                0.94919,                0.88944,                0.78884,                 0.8662,                  0.649,                0.96455,                0.55969,                  1.046,               0.001585,               0.001585,               0.001585
                     87,                0.75956,                0.45115,                0.94777,                0.88567,                0.78957,                0.86821,                0.65081,                0.96288,                0.55917,                 1.0431,               0.001486,               0.001486,               0.001486
                     88,                0.75911,                0.44779,                0.94979,                 0.8895,                0.78546,                0.86791,                0.65017,                0.96279,                0.55697,                 1.0444,               0.001387,               0.001387,               0.001387
                     89,                0.75426,                0.44283,                 0.9447,                0.88847,                0.78789,                 0.8665,                0.65047,                0.96345,                0.55813,                 1.0435,               0.001288,               0.001288,               0.001288
                     90,                0.75173,                0.44193,                0.94281,                0.88257,                0.79401,                0.86955,                0.65197,                0.96156,                0.55735,                 1.0423,               0.001189,               0.001189,               0.001189
                     91,                0.75002,                0.44007,                0.94416,                0.88558,                0.79763,                0.86955,                0.65127,                0.96192,                0.55721,                 1.0417,                0.00109,                0.00109,                0.00109
                     92,                0.74237,                0.43715,                0.93944,                0.88776,                0.79294,                0.86717,                0.65021,                0.96378,                0.55509,                  1.044,               0.000991,               0.000991,               0.000991
                     93,                0.73822,                0.43395,                0.93956,                0.88861,                0.78995,                0.86792,                0.65218,                0.96231,                0.55383,                 1.0445,               0.000892,               0.000892,               0.000892
                     94,                0.73946,                0.43472,                0.94017,                0.89316,                0.78567,                0.86654,                0.65056,                0.96258,                0.55625,                 1.0457,               0.000793,               0.000793,               0.000793
                     95,                0.73335,                0.42988,                0.93847,                0.88971,                0.78963,                0.86735,                0.65083,                 0.9626,                0.55619,                 1.0463,               0.000694,               0.000694,               0.000694
                     96,                0.72949,                0.42596,                 0.9355,                0.88144,                0.79603,                0.86665,                0.65142,                0.96062,                0.55656,                 1.0444,               0.000595,               0.000595,               0.000595
                     97,                0.72842,                0.42661,                0.93619,                0.89079,                0.78916,                0.86637,                0.65256,                0.96001,                0.55631,                 1.0438,               0.000496,               0.000496,               0.000496
                     98,                0.72739,                0.42655,                0.93396,                0.88474,                0.79324,                0.86637,                0.65127,                0.95956,                0.55738,                 1.0442,               0.000397,               0.000397,               0.000397
                     99,                0.72449,                0.42353,                0.93498,                0.87859,                0.79653,                0.86643,                0.65147,                0.96085,                 0.5575,                 1.0446,               0.000298,               0.000298,               0.000298
